175,175,10166,1761,6840,8505,7356
176,176,6214,7383,10680,3303,9850
177,177,4736,2781,8155,2389,8126
178,178,6010,11117,10804,9170,2545
179,179,4086,9757,4571,9503,1384
180,180,8882,79,2192,739,4596
181,181,5626,727,6634,184,2889
182,182,9831,1226,9224,9173,1580
183,183,6158,665,3593,2163,8653
184,184,2889,2433,7441,3565,727
185,185,10093,1033,10676,9818,10133
186,186,7491,3130,3275,2461,7492
187,187,3013,7391,6046,6293,4896
188,188,22,627,3752,1695,420
189,189,11019,9538,9754,3010,4059
190,190,4935,1400,7092,1213,16
191,191,4532,3195,5113,2996,9931
192,192,4591,4310,515,172,6707
193,193,757,4097,712,4436,770
194,7593,194,6786,4950,10552,7459
195,195,3246,1229,2677,4784,1432
196,196,3603,8537,1760,3321,490
197,197,10300,9841,8704,3092,7085
198,198,3222,7974,10831,9723,10188
199,199,7329,3380,750,10143,10062
200,200,7102,4246,8062,2090,5218
201,201,3747,3746,8606,3742,3726
202,202,4004,4118,3080,6753,8914
203,203,5395,2816,5872,4444,3367
204,204,10499,2582,4018,6879,2692
205,205,10362,4305,8086,8102,3359
206,206,1339,2894,923,119,9790
207,207,6351,1795,906,666,7563
208,208,8303,4987,8171,7600,4100
209,209,4289,10396,10996,3940,10028
210,210,9551,6531,2878,6987,7054
211,211,161,5844,9085,6796,417
212,212,8609,5468,4014,2672,3619
213,213,1162,8314,1982,8386,7389
214,214,4913,2497,9892,5356,7046
215,215,10990,1237,1118,9501,6611
216,216,5492,1071,10468,9446,946
217,3502,217,4579,7765,8874,9494
218,218,10753,6662,8066,1336,1244
219,219,4896,6675,6293,10003,7034
220,220,6411,9760,3138,9231,7343
221,221,6864,1687,4568,5580,1609
222,222,5745,5385,773,4434,9304
223,223,7141,6816,4350,2561,1898
224,224,3611,292,4435,8674,4536
225,225,1082,5393,7768,10823,5397
226,226,6569,2639,2798,1076,1168
227,227,6564,4172,1083,331,1129
228,228,7887,2319,3345,3613,4258
229,229,10146,7789,9439,1283,8720
230,230,8840,4599,5318,1035,393
231,231,330,745,8218,10662,5583
232,232,7524,5090,2872,8800,7746
233,233,10750,2451,7562,8858,1405
234,234,1942,6387,5653,4066,9309
235,235,28,4127,1393,4800,889
236,236,8558,9202,9464,2669,4490
237,237,10668,3907,6725,2784,9239
238,238,4668,6754,9026,1075,7917
239,239,4777,2100,2108,4735,2551
240,240,7469,6027,8871,10238,4062
241,241,3808,4389,1052,2535,9113
242,242,1059,8618,9509,10601,10054
243,243,995,9991,2850,1933,7235
244,244,10752,10548,6581,3341,1337
245,245,1332,1255,3298,3450,8973
246,4108,246,694,8225,9045,6655
247,247,660,8571,9665,5590,9005
248,248,4883,3161,7721,10946,784
249,249,5888,6161,6702,2707,4440
250,250,1036,1520,8719,10789,3281
251,251,10805,10108,2432,1197,9245
252,252,8226,3476,1835,3091,5153
253,253,759,8089,9122,8287,11011
254,254,1784,9253,5409,5350,1711
255,255,355,4230,5964,257,523
256,256,146,6342,538,9640,8411
257,257,9404,7943,10737,255,9488
258,258,5290,9194,606,8280,7362
259,259,8506,5930,10739,4151,4385
260,260,3307,1181,1429,3154,7428
261,261,440,10163,4819,6625,6963
262,262,9698,7146,5593,622,1928
263,263,9748,7567,7769,498,9271
264,264,5885,7118,5299,9468,4080
265,10497,9331,9437,10917,11027,10138
266,266,2194,7739,10376,7726,7467
267,267,1572,6690,374,3870,323
268,268,1924,8398,9964,3744,6641
269,269,8154,5708,990,9251,4135
270,270,10611,20,4769,1142,6403
271,271,7035,6912,9932,10359,4239
272,272,2603,2556,8728,6468,1331
273,273,2300,7505,4946,10736,10994
274,274,7170,2997,10381,1144,3647
275,275,3270,3838,9979,10907,2595
276,276,1836,372,5898,4785,2226
277,277,9544,2175,5602,7546,8017
278,278,2647,696,7283,4998,2559
279,279,2074,665,8310,9621,183
280,280,10142,4468,10148,1002,4456
281,281,46,1978,3451,2730,2910
282,282,8986,5835,4399,7698,10410
283,283,8044,8064,1689,5746,4774
284,284,310,294,5015,5407,1467
285,285,287,6978,615,5188,8361
286,286,10675,2529,4160,287,289
287,287,285,6978,10918,2529,615
288,288,4244,10825,2960,10528,1053
289,289,10055,2529,1575,8243,8239
290,290,409,4267,408,6005,1304
291,291,335,5980,25,165,4249
292,292,8437,5466,9376,3211,1433
293,293,1092,2638,633,34,8866
294,294,310,284,5015,2116,2114
295,295,7137,8163,9990,7423,8166
296,296,3076,9378,1018,1426,5898
297,297,39,3626,6157,3639,4886
298,298,4149,4671,3629,2648,333
299,299,10700,6422,2764,591,4430
300,300,10017,10261,7605,9068,8106
301,301,9462,9690,1959,5370,2494
302,302,3113,7174,9147,3374,111
303,303,7192,4737,5404,8511,3042
304,8760,304,10073,5848,5812,10513
305,305,9995,4962,5515,3216,1862
306,306,10937,6497,5614,8362,8183
307,307,1462,2114,2116,5015,294
308,308,10732,6629,309,10667,775
309,309,6629,10667,308,10732,775
310,310,284,294,5015,2116,5407
311,311,11037,9449,7340,9737,6773
312,312,7325,10523,2399,3309,4738
313,313,10666,610,3059,4638,98
314,314,98,1077,3796,3223,610
315,315,1227,5046,9310,10457,8688
316,316,3453,9101,1100,3034,3239
317,317,8855,8436,5725,10354,9752
318,318,2167,3424,964,4643,10013
319,319,7689,5774,5799,5346,2502
320,320,10865,3701,10911,5066,9654
321,321,4874,3862,2436,1748,1526
322,322,4180,7677,9411,132,3089
323,323,568,374,10372,267,1572
324,324,11083,9205,4984,7890,3529
325,325,7830,2388,9213,2474,5099
326,326,832,10738,8645,3643,2226
327,327,3486,10,10056,4466,3771
328,328,80,10895,2437,5640,2489
329,329,4540,8794,1027,1085,4188
330,330,231,745,10662,5583,8218
331,331,227,1969,2860,9743,1083
332,332,2940,5974,8122,8682,2277
333,333,2662,4671,683,3629,298
334,334,2523,128,6099,8421,1019
335,335,5980,4249,1789,291,2313
336,336,1905,3949,6384,5458,10139
337,337,6217,8166,2757,706,7203
338,338,9171,3668,7660,10515,9622
339,339,7098,716,7646,2240,640
340,340,2626,10379,4236,6318,9939
341,341,6193,3570,8082,8824,589
342,342,10251,10986,10985,9100,7566
343,343,3930,9559,6090,7317,9235
344,344,3947,5276,6357,4653,7419
345,345,8912,4923,6401,8153,7894
346,346,9283,8964,2788,3286,8685
347,2176,347,9357,7214,549,87
348,348,1113,10062,10143,750,3380
349,349,1496,8439,2610,7703,3642
350,350,7825,5897,7180,7218,10723
351,351,4747,10160,10097,10692,5012
352,352,10519,9693,2013,1602,6887
353,353,7110,1366,5256,10575,2212
354,354,792,1782,6512,2427,2161
355,355,4230,5964,255,3484,9404
